Country Name,Country Code,Indicator Name,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,5-bank asset concentration,100,89.3635,83.133,86.6647,84.8274,79.6688,86.6035,72.1549,71.9406
Afghanistan,AFG,Account at a formal financial institution (% age 15+),,,,9.00501,,,9.961,,
Afghanistan,AFG,Account used for business purposes (% age 15+),,,,2.7184,,,,,
Afghanistan,AFG,Account used to receive government payments (% age 15+),,,,1.99183,,,,,
Afghanistan,AFG,Account used to receive remittances (% age 15+),,,,1.72703,,,2.25439,,
Afghanistan,AFG,Account used to receive wages (% age 15+),,,,7.04509,,,2.54747,,
Afghanistan,AFG,"ATMs per 100,000 adults",0.30245,0.452439,0.532064,0.620063,0.642222,0.712434,0.758811,0.929837,1.07422
Afghanistan,AFG,"Bank accounts per 1,000 adults",36.7491,88.1264,106.51,140.394,167.516,157.386,174.903,183.573,184.599
Afghanistan,AFG,"Bank branches per 100,000 adults",1.49115,2.24163,2.40094,2.23095,2.15297,2.27745,2.33223,2.19099,2.21525
Afghanistan,AFG,Bank capital to total assets (%),,,,,,,,,
Afghanistan,AFG,Bank concentration (%),92.7161,73.0637,59.7381,66.5181,63.8239,57.8009,63.7336,53.3791,51.8292
Afghanistan,AFG,Bank cost to income ratio (%),58.7023,59.0729,64.3447,80.1512,75.9846,75.4972,75.862,,
Afghanistan,AFG,Bank credit to bank deposits (%),59.8745,58.2379,59.411,42.886,24.4961,23.3183,22.6007,21.8267,20.961
Afghanistan,AFG,Bank deposits to GDP (%),13.904,15.4208,16.9758,17.4011,16.6271,17.1114,16.9033,16.4549,16.5902
Afghanistan,AFG,Bank lending-deposit spread,,,,,,,,,
Afghanistan,AFG,Bank net interest margin (%),10.3925,11.0339,5.59061,6.44951,5.89362,6.19178,5.26145,5.00389,4.94282
Afghanistan,AFG,Bank noninterest income to total income (%),16.4041,21.3312,42.9299,29.5158,48.6004,40.8048,42.0813,,
Afghanistan,AFG,Bank non-performing loans to gross loans (%),,,,,,,,,
